listing_id,first_review,last_review,number_of_reviews,accuracy_score,cleanliness_score,checkin_score,communication_score,location_score,value_score,rating
1001265,2013-05-24 04:00:00,2019-02-07 05:00:00,96,9,8,9,9,9,9,84
10116256,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
10109896,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
10057447,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
10057826,2016-01-03 05:00:00,2018-02-18 05:00:00,5,9,10,10,8,8,9,88
10092679,2017-10-08 04:00:00,2018-12-21 05:00:00,27,10,9,10,10,10,10,99
10228731,2016-05-26 04:00:00,2016-05-26 04:00:00,1,8,10,10,10,10,10,100
1019168,2014-06-22 04:00:00,2019-01-08 05:00:00,62,10,9,10,10,10,10,98
10240767,2016-07-29 04:00:00,2019-02-18 05:00:00,162,10,10,10,10,10,9,96
1022200,2018-06-15 04:00:00,2018-06-15 04:00:00,1,10,8,10,10,10,10,100
10227000,2016-02-20 05:00:00,2016-02-20 05:00:00,1,10,10,10,8,8,10,100
10186755,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
10141950,2016-01-06 05:00:00,2016-01-06 05:00:00,1,10,10,10,10,10,10,100
10184012,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
10233856,2016-08-28 04:00:00,2018-07-12 04:00:00,22,8,9,9,9,9,9,83
10215858,2016-07-13 04:00:00,2018-11-06 05:00:00,9,8,7,9,8,8,8,73
10199760,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
10201975,2016-02-23 05:00:00,2019-01-28 05:00:00,24,9,10,10,10,10,9,92
10213499,2016-01-23 05:00:00,2019-01-06 05:00:00,61,10,10,10,10,10,10,97
10264100,2016-08-13 04:00:00,2018-03-18 04:00:00,8,10,9,10,10,10,10,100
10209136,2016-01-24 05:00:00,2016-02-16 05:00:00,4,10,10,9,9,9,9,95
10220130,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
10166986,2016-01-01 05:00:00,2016-01-01 05:00:00,1,10,8,10,10,10,10,100
10166883,2016-01-03 05:00:00,2019-01-01 05:00:00,22,10,9,10,10,10,9,95
1016739,2013-07-15 04:00:00,2017-12-01 05:00:00,8,10,10,10,10,10,9,100
10295352,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
10267144,2016-12-04 05:00:00,2018-12-12 05:00:00,29,10,10,10,10,10,10,99
10266175,2016-06-18 04:00:00,2019-02-28 05:00:00,32,10,10,10,10,10,9,98
10299095,2016-08-20 04:00:00,2016-08-20 04:00:00,1,8,8,8,8,8,8,80
103161,2013-09-21 04:00:00,2019-02-18 05:00:00,117,10,10,10,10,10,9,96
10269320,2016-01-18 05:00:00,2019-02-01 05:00:00,225,10,10,10,10,10,10,96
102995,2011-05-29 04:00:00,2018-01-01 05:00:00,45,9,9,10,10,10,9,93
10280433,2016-08-08 04:00:00,2019-02-19 05:00:00,103,10,10,10,10,10,10,99
10306879,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
10423504,2016-01-30 05:00:00,2018-11-11 05:00:00,139,10,10,10,10,10,9,96
10359729,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
10317142,2016-01-24 05:00:00,2019-02-19 05:00:00,32,10,9,10,10,10,10,94
10578580,2016-02-08 05:00:00,2019-02-18 05:00:00,114,9,9,10,10,10,9,95
10664888,2016-02-03 05:00:00,2019-01-22 05:00:00,62,10,10,10,10,10,10,97
10542174,2016-02-21 05:00:00,2016-02-21 05:00:00,1,10,10,10,10,10,9,95
10570041,2016-02-10 05:00:00,2018-10-15 04:00:00,9,10,9,10,10,10,9,91
1038163,2013-04-18 04:00:00,2019-02-04 05:00:00,135,9,9,10,10,10,9,91
10448594,2016-05-15 04:00:00,2019-01-04 05:00:00,13,10,10,10,10,10,10,95
10487917,2016-02-06 05:00:00,2018-10-22 04:00:00,31,9,9,9,9,9,9,89
10488837,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
1069531,2014-07-18 04:00:00,2019-02-23 05:00:00,167,10,9,10,10,10,9,93
10545725,2016-02-14 05:00:00,2016-02-14 05:00:00,1,10,10,10,10,10,10,100
10332161,2016-08-05 04:00:00,2016-08-20 04:00:00,2,10,10,9,9,9,9,90
10612199,2016-08-13 04:00:00,2019-01-05 05:00:00,10,10,10,10,10,10,10,100
10471178,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
10519173,2016-05-07 04:00:00,2019-01-04 05:00:00,18,10,10,10,10,10,9,95
10677883,2016-01-19 05:00:00,2016-03-01 05:00:00,2,10,8,10,10,10,8,60
10373872,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
10548991,2016-08-10 04:00:00,2019-02-26 05:00:00,45,10,10,10,10,10,10,98
10596036,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
1067052,2013-07-03 04:00:00,2018-08-04 04:00:00,18,10,9,10,10,10,10,96
10431455,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
10459480,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
10486984,2016-04-24 04:00:00,2019-02-10 05:00:00,77,9,9,10,10,10,9,94
10648267,2016-02-10 05:00:00,2016-02-10 05:00:00,1,10,10,10,10,10,10,100
10675315,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
10354347,2017-12-27 05:00:00,2017-12-27 05:00:00,1,10,10,10,10,10,9,95
10383490,2016-05-16 04:00:00,2016-05-16 04:00:00,1,10,10,10,10,10,10,100
10628126,2016-03-15 04:00:00,2019-02-05 05:00:00,132,10,10,10,10,10,9,92
10639317,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
10552362,2016-02-01 05:00:00,2016-02-22 05:00:00,2,10,10,10,10,10,10,100
1036027,2014-04-17 04:00:00,2018-12-30 05:00:00,71,9,9,10,10,10,9,88
10343118,2016-02-09 05:00:00,2019-02-06 05:00:00,145,10,10,10,10,10,9,94
10324377,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
1042446,2015-04-28 04:00:00,2019-01-10 05:00:00,19,10,9,10,10,10,9,94
10624493,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
10415637,2016-02-11 05:00:00,2017-09-22 04:00:00,11,10,10,10,10,10,10,98
10527212,2016-02-16 05:00:00,2017-12-25 05:00:00,18,8,7,8,7,7,8,71
10573225,2016-01-22 05:00:00,2019-02-04 05:00:00,115,10,10,10,10,10,10,98
1068505,2013-05-07 04:00:00,2018-12-14 05:00:00,46,10,10,10,10,10,9,96
10381879,2016-09-18 04:00:00,2019-02-03 05:00:00,9,10,10,10,10,10,10,98
1063491,2014-01-14 05:00:00,2019-01-02 05:00:00,110,10,9,10,10,10,9,95
10458796,2016-01-16 05:00:00,2017-08-31 04:00:00,179,9,9,10,10,10,9,94
10449328,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
10416859,2016-02-10 05:00:00,2018-09-23 04:00:00,104,10,9,10,10,10,10,96
10392282,2016-01-29 05:00:00,2019-02-19 05:00:00,99,10,9,10,10,10,9,96
10581101,2016-03-30 04:00:00,2019-02-20 05:00:00,77,10,9,9,9,9,9,90
10635276,2017-09-17 04:00:00,2018-05-02 04:00:00,13,10,10,10,10,10,10,100
10659534,2016-01-26 05:00:00,2017-12-29 05:00:00,10,9,10,9,10,10,9,95
1066648,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
1047087,2013-04-29 04:00:00,2019-02-11 05:00:00,146,10,10,10,10,10,10,97
10527243,2016-07-14 04:00:00,2019-02-22 05:00:00,65,10,10,10,10,10,10,96
10545815,2016-04-12 04:00:00,2019-02-19 05:00:00,126,10,10,10,10,10,9,96
10560325,2016-03-30 04:00:00,2018-11-04 04:00:00,20,9,9,10,9,9,9,89
10411341,2016-01-15 05:00:00,2019-01-22 05:00:00,32,10,9,9,10,10,9,95
10558807,2016-02-23 05:00:00,2018-12-30 05:00:00,51,8,7,8,8,8,8,71
1058555,2014-04-06 04:00:00,2018-12-23 05:00:00,31,10,10,10,10,10,9,96
10671783,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
1074008,2013-05-04 04:00:00,2015-06-30 04:00:00,17,9,9,10,10,10,9,97
10802909,2016-03-25 04:00:00,2019-02-17 05:00:00,122,8,8,9,9,9,8,78
10742116,2017-06-13 04:00:00,2019-01-02 05:00:00,6,9,9,9,9,9,8,83
1073607,2013-05-07 04:00:00,2019-02-01 05:00:00,84,10,10,10,10,10,10,96
1079887,2013-04-27 04:00:00,2019-01-02 05:00:00,104,10,9,10,10,10,9,93
10751153,2016-07-09 04:00:00,2018-12-30 05:00:00,32,10,10,10,10,10,9,94
10752737,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
10706900,2016-09-19 04:00:00,2019-01-25 05:00:00,34,10,9,10,10,10,9,95
1070322,2013-04-28 04:00:00,2019-03-06 05:00:00,191,9,9,9,9,9,8,82
1077686,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
10782351,2017-11-24 05:00:00,2017-11-24 05:00:00,1,10,10,10,10,10,10,80
10716793,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
10908640,2016-02-11 05:00:00,2016-08-13 04:00:00,2,10,9,9,10,10,9,100
10887852,2016-09-18 04:00:00,2019-02-19 05:00:00,60,10,10,10,10,10,10,95
10828339,2018-12-07 05:00:00,2018-12-07 05:00:00,1,10,10,10,10,10,9,95
10840938,2016-02-01 05:00:00,2019-02-22 05:00:00,125,9,9,9,10,10,9,87
10839973,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
10816768,2017-09-10 04:00:00,2019-03-04 05:00:00,86,10,10,10,10,10,10,99
10812136,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
10893326,2016-03-06 05:00:00,2019-02-11 05:00:00,18,10,10,10,10,10,10,98
10857454,2016-09-28 04:00:00,2019-02-23 05:00:00,89,10,10,10,10,10,10,98
10855800,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
10852990,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
10819035,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
10862541,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
1090153,2014-01-02 05:00:00,2019-01-03 05:00:00,3,9,7,10,10,10,8,93
1089542,2013-04-20 04:00:00,2019-03-02 05:00:00,241,10,9,10,10,10,10,93
10839801,2016-01-30 05:00:00,2019-02-24 05:00:00,72,10,10,10,10,10,10,97
10850008,2016-05-05 04:00:00,2019-02-19 05:00:00,29,10,9,10,10,10,9,99
10911771,2016-11-13 05:00:00,2018-02-18 05:00:00,15,7,8,8,9,9,8,76
1092760,2013-08-17 04:00:00,2019-01-04 05:00:00,184,10,10,10,10,10,10,96
10948197,2016-02-16 05:00:00,2019-02-01 05:00:00,137,9,9,10,10,10,9,93
10932304,2016-03-26 04:00:00,2019-02-18 05:00:00,44,9,9,9,9,9,9,87
10977704,2016-02-12 05:00:00,2019-02-24 05:00:00,203,10,10,10,10,10,9,96
1095174,2013-10-21 04:00:00,2019-03-02 05:00:00,119,10,10,10,10,10,10,97
10992286,2016-03-23 04:00:00,2018-12-14 05:00:00,44,10,10,10,10,10,10,98
1104768,2013-06-22 04:00:00,2019-02-25 05:00:00,103,9,7,9,9,9,8,82
11007058,2018-10-09 04:00:00,2018-10-09 04:00:00,1,6,8,8,6,6,8,80
10990260,2016-02-15 05:00:00,2018-01-02 05:00:00,21,9,10,10,10,10,9,91
1101035,2013-04-30 04:00:00,2019-02-25 05:00:00,215,10,10,10,10,10,9,98
11055163,2016-05-04 04:00:00,2019-02-10 05:00:00,105,9,9,10,9,9,9,88
11095139,2016-02-10 05:00:00,2019-02-23 05:00:00,139,9,9,10,10,10,9,89
11097962,2016-03-26 04:00:00,2019-02-23 05:00:00,199,9,10,10,10,10,9,90
1098211,2013-06-25 04:00:00,2014-01-13 05:00:00,9,9,10,10,10,10,8,84
11093339,2016-03-26 04:00:00,2019-02-20 05:00:00,206,10,10,10,10,10,10,94
11007542,2018-12-03 05:00:00,2018-12-03 05:00:00,1,10,10,10,10,10,10,100
10985735,2016-02-14 05:00:00,2016-09-10 04:00:00,15,10,9,10,10,10,9,94
11006512,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
11012484,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
10992671,2016-03-17 04:00:00,2017-11-01 04:00:00,13,10,9,10,10,10,10,98
11005300,2016-10-03 04:00:00,2019-02-16 05:00:00,19,10,10,10,10,10,10,100
11080033,2016-07-15 04:00:00,2016-07-15 04:00:00,1,10,8,10,10,10,8,80
11131495,2016-08-14 04:00:00,2019-01-06 05:00:00,7,10,10,10,10,10,10,94
11108923,2016-02-26 05:00:00,2019-02-10 05:00:00,130,10,10,10,10,10,9,95
11157167,2017-01-03 05:00:00,2018-08-25 04:00:00,26,10,9,10,10,10,10,97
1112838,2013-05-12 04:00:00,2019-02-07 05:00:00,129,10,10,10,10,10,10,95
11153910,2016-05-17 04:00:00,2016-05-17 04:00:00,1,8,6,8,8,8,6,80
11197217,2016-08-23 04:00:00,2018-02-15 05:00:00,2,9,10,10,10,10,8,100
11319047,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
11378656,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
11480835,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
11567815,2016-03-31 04:00:00,2018-12-31 05:00:00,28,10,10,10,10,10,10,98
11648810,2016-07-02 04:00:00,2016-07-19 04:00:00,2,4,4,10,8,8,8,70
11207193,2016-09-03 04:00:00,2018-08-30 04:00:00,7,10,10,10,10,10,9,97
11264406,2016-05-01 04:00:00,2016-05-01 04:00:00,1,10,10,10,10,10,10,100
1136399,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
11379251,2016-04-07 04:00:00,2016-04-07 04:00:00,1,10,10,10,10,10,9,95
1138483,2013-06-11 04:00:00,2019-03-04 05:00:00,230,10,10,10,10,10,10,98
11510109,2018-10-11 04:00:00,2018-10-11 04:00:00,1,10,10,10,10,10,10,100
11695637,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
11335874,2016-03-08 05:00:00,2016-04-02 04:00:00,2,10,10,10,10,10,10,100
11406680,2016-05-28 04:00:00,2018-02-13 05:00:00,11,10,9,10,10,10,9,96
11459525,2016-07-25 04:00:00,2017-01-24 05:00:00,4,10,10,10,10,10,10,100
1146653,2013-06-20 04:00:00,2016-01-27 05:00:00,24,10,10,10,10,10,10,98
11488558,2016-12-28 05:00:00,2017-05-09 04:00:00,5,10,10,10,10,10,10,100
11533406,2016-04-01 04:00:00,2018-02-25 05:00:00,11,10,10,10,10,10,9,98
1153834,2014-10-11 04:00:00,2017-06-15 04:00:00,6,6,7,8,8,8,7,65
11145180,2016-02-15 05:00:00,2019-02-10 05:00:00,27,10,10,9,9,9,10,92
11194486,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
1145567,2013-08-19 04:00:00,2015-08-29 04:00:00,12,8,8,9,10,10,9,88
11146498,2016-02-26 05:00:00,2016-12-07 05:00:00,2,10,10,10,10,10,10,100
11223389,2016-03-22 04:00:00,2019-02-11 05:00:00,112,10,9,10,10,10,9,92
1143151,2013-07-15 04:00:00,2019-01-08 05:00:00,41,10,9,10,10,10,9,94
1144090,2013-05-19 04:00:00,2019-02-08 05:00:00,380,10,10,10,10,10,9,92
11115528,2016-02-24 05:00:00,2019-03-05 05:00:00,108,9,9,9,10,10,9,90
11447743,2016-03-22 04:00:00,2019-02-10 05:00:00,211,10,10,10,10,10,10,98
11472884,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
11409841,2017-04-14 04:00:00,2019-02-07 05:00:00,24,10,10,10,10,10,10,98
11567179,2016-04-01 04:00:00,2016-08-24 04:00:00,2,10,10,10,10,10,10,100
11679106,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
11693193,2016-03-23 04:00:00,2019-01-01 05:00:00,94,10,10,10,10,10,10,97
11194788,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
11396243,2016-06-23 04:00:00,2017-02-27 05:00:00,2,10,10,10,10,10,9,95
11442936,2016-03-26 04:00:00,2016-09-26 04:00:00,2,10,10,10,10,10,10,100
11553357,2016-03-19 04:00:00,2018-12-14 05:00:00,37,10,9,10,10,10,10,94
11695887,2016-04-13 04:00:00,2019-02-10 05:00:00,17,10,9,10,10,10,9,94
11113983,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
11136898,2016-02-24 05:00:00,2019-01-02 05:00:00,57,10,9,10,10,10,10,97
1111410,2014-10-17 04:00:00,2019-02-03 05:00:00,43,9,9,9,9,9,9,87
1129061,2014-11-20 05:00:00,2019-02-28 05:00:00,87,10,10,10,10,10,10,96
11553333,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
11679012,2018-12-17 05:00:00,2019-01-28 05:00:00,2,10,9,10,9,9,10,100
11364106,2016-09-06 04:00:00,2017-09-12 04:00:00,5,10,10,10,10,10,10,100
1139810,2013-07-21 04:00:00,2019-03-02 05:00:00,54,10,10,10,10,10,9,95
11703559,2016-03-13 05:00:00,2019-01-30 05:00:00,163,10,10,10,10,10,10,94
11648362,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
1169088,2017-07-26 04:00:00,2019-02-24 05:00:00,20,9,10,9,9,9,9,84
11242147,2016-08-01 04:00:00,2018-09-19 04:00:00,4,10,10,10,10,10,10,100
11191242,2016-03-15 04:00:00,2016-06-23 04:00:00,19,9,9,10,10,10,9,88
11193311,2016-05-08 04:00:00,2018-11-04 04:00:00,23,10,9,10,10,10,9,86
1127954,2015-11-08 05:00:00,2015-11-08 05:00:00,1,10,10,10,10,10,9,95
1131054,2013-10-14 04:00:00,2018-09-24 04:00:00,35,10,10,10,10,10,10,99
11387183,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
11656239,2016-04-16 04:00:00,2018-10-25 04:00:00,58,10,10,10,10,10,10,98
11690230,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
11413023,2016-03-23 04:00:00,2019-02-07 05:00:00,229,10,9,10,10,10,10,95
11420459,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
11464859,2016-03-23 04:00:00,2019-02-13 05:00:00,203,10,10,10,10,10,10,99
11566403,2016-03-18 04:00:00,2018-09-30 04:00:00,42,10,9,10,10,10,9,92
1132409,2013-06-16 04:00:00,2016-04-01 04:00:00,12,10,10,10,10,10,10,93
11144250,2016-04-10 04:00:00,2018-08-26 04:00:00,22,10,9,10,10,10,9,94
1117706,2014-06-17 04:00:00,2018-12-19 05:00:00,16,10,10,9,9,9,10,97
11444539,2016-04-10 04:00:00,2019-03-06 05:00:00,38,9,9,10,10,10,9,95
11552866,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
1155475,2013-08-14 04:00:00,2019-02-23 05:00:00,104,10,10,10,10,10,9,97
1163119,2014-01-19 05:00:00,2017-06-19 04:00:00,22,10,9,10,9,9,9,93
116931,2011-05-22 04:00:00,2018-07-01 04:00:00,122,9,8,10,9,9,9,88
11610598,2016-04-29 04:00:00,2019-03-05 05:00:00,385,10,10,10,10,10,10,98
11667313,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
11695437,2016-03-17 04:00:00,2019-02-01 05:00:00,33,10,10,10,10,10,10,97
11568230,2016-06-01 04:00:00,2018-02-06 05:00:00,7,9,9,10,10,10,9,93
11602050,2016-11-24 05:00:00,2019-01-19 05:00:00,7,8,8,8,9,9,7,80
11603201,2016-04-18 04:00:00,2016-04-18 04:00:00,1,10,10,10,10,10,9,95
11557363,2016-04-24 04:00:00,2018-12-30 05:00:00,36,9,9,10,9,9,9,90
1155885,2013-05-27 04:00:00,2019-02-19 05:00:00,180,10,10,10,10,10,10,93
11567997,2017-03-05 05:00:00,2018-11-26 05:00:00,25,10,10,10,10,10,10,96
11688660,2016-05-02 04:00:00,2016-05-02 04:00:00,1,10,10,10,10,10,10,100
11098708,2016-02-12 05:00:00,2019-02-27 05:00:00,211,10,9,10,10,10,9,97
11130156,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
11305966,2016-03-29 04:00:00,2018-10-04 04:00:00,3,9,8,8,8,8,8,90
1148978,2013-05-31 04:00:00,2019-02-21 05:00:00,45,10,9,9,10,10,9,94
11719579,2016-03-24 04:00:00,2016-03-24 04:00:00,1,10,10,10,10,10,10,100
11716047,2017-01-08 05:00:00,2019-01-02 05:00:00,2,10,10,10,10,10,10,100
11740322,2016-08-05 04:00:00,2018-12-25 05:00:00,76,10,10,10,10,10,10,99
11764681,2018-08-29 04:00:00,2018-12-05 05:00:00,4,10,10,9,9,9,9,90
117425,2011-05-23 04:00:00,2018-05-26 04:00:00,95,9,9,9,9,9,9,90
11757719,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
11708,2009-10-27 04:00:00,2019-02-03 05:00:00,207,9,9,10,10,10,9,87
11753116,2016-03-31 04:00:00,2019-01-30 05:00:00,75,9,9,10,9,9,9,90
11715762,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
11727255,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
11737940,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
1176693,2013-07-04 04:00:00,2018-07-29 04:00:00,36,9,9,9,10,10,8,83
11871088,2017-07-12 04:00:00,2018-12-03 05:00:00,19,9,9,10,9,9,9,88
11933497,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
11778959,2016-08-15 04:00:00,2017-06-11 04:00:00,3,10,10,10,10,10,10,100
11840338,2017-09-17 04:00:00,2017-09-17 04:00:00,1,10,10,10,10,10,10,100
11948705,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
12008712,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
11939367,2016-04-24 04:00:00,2019-01-05 05:00:00,107,10,10,10,10,10,10,98
12014026,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
1185644,2015-03-11 04:00:00,2019-03-03 05:00:00,217,10,9,9,10,10,9,94
11834359,2016-04-24 04:00:00,2017-03-03 05:00:00,10,10,10,10,10,10,10,93
11835516,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
11918738,2016-06-20 04:00:00,2019-02-28 05:00:00,65,10,9,10,10,10,10,98
11953606,2016-04-18 04:00:00,2018-07-29 04:00:00,12,10,10,10,10,10,9,98
11792238,2016-08-02 04:00:00,2016-08-02 04:00:00,1,10,6,10,10,10,10,80
11914814,2016-08-02 04:00:00,2016-10-02 04:00:00,2,10,10,10,10,10,9,100
11860047,2017-01-03 05:00:00,2019-01-18 05:00:00,2,10,10,10,10,10,10,100
11860692,2016-05-24 04:00:00,2018-07-27 04:00:00,25,10,10,10,10,10,10,99
11948645,2017-01-13 05:00:00,2019-02-05 05:00:00,31,10,10,10,10,10,9,97
11935301,2016-06-24 04:00:00,2016-06-24 04:00:00,1,10,10,10,10,10,10,100
11921637,2016-08-12 04:00:00,2017-03-01 05:00:00,5,10,10,10,10,10,9,92
1198074,2016-03-07 05:00:00,2019-02-07 05:00:00,23,10,10,10,10,10,10,98
12027124,2017-02-22 05:00:00,2019-02-20 05:00:00,9,10,10,10,10,10,10,98
11890476,2016-03-28 04:00:00,2017-01-06 05:00:00,5,10,10,10,10,10,10,100
11806776,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
11778475,2016-03-28 04:00:00,2019-03-08 05:00:00,269,10,9,10,10,10,9,92
11902059,2016-05-29 04:00:00,2018-01-05 05:00:00,5,10,10,10,10,10,9,96
11945972,2016-08-15 04:00:00,2016-08-15 04:00:00,1,10,10,10,10,10,10,100
